cart_id,mock_user_id,risk_score,risk_percentile_rank,risk_level,label_backed_risk_score,contextual_evidence_score,context_signal_count,top_reasons,reason_details,suggested_action,dashboard_message,risk_input_coverage_weight,transaction_layer_score,fit_layer_agent_score,review_layer_agent_score,cart_behavior_agent_score,fit_context_evidence_score,review_context_evidence_score,cart_context_evidence_score,primary_mock_product_id,primary_source_item_id,cart_item_count,unique_mock_product_count,two_size_same_product,duplicate_variant,cart_uncertainty_signal_count,cart_size_pressure,model_risk_rank_score,model_risk_score_raw,night_purchase,fit_layer_summary_score,item_fit_issue_score,item_length_issue_score,item_quality_issue_score,review_text_summary_score,review_text_size_issue_score,review_text_quality_issue_score,review_text_color_issue_score,review_text_negative_language_score,rating_issue_score,review_text_color_issue_score_upper_tail_flag,fit_signal_available,review_signal_available,rating_signal_available,review_text_size_issue_score_upper_tail_flag,review_text_quality_issue_score_upper_tail_flag,review_text_negative_language_score_upper_tail_flag
CART_0001,MU_003,0.866603115469603,0.8,high,0.9808615935280044,0.6,2,"[""high_transaction_model_rank"", ""large_cart_size"", ""length_issue_signal"", ""quality_issue_signal""]","[{""code"": ""high_transaction_model_rank"", ""severity"": 0.9808615935280044, ""message"": ""Transaction model rank is high.""}, {""code"": ""large_cart_size"", ""severity"": 0.6, ""message"": ""Cart size is high for this demo batch.""}, {""code"": ""length_issue_signal"", ""severity"": 0.348145461140836, ""message"": ""Length issue signal is elevated.""}, {""code"": ""quality_issue_signal"", ""severity"": 0.2814156438317512, ""message"": ""Quality-related signal is elevated.""}]",show_size_guidance_before_checkout,Fit-related signals are elevated. Show size and fit guidance.,1.0,0.9808615935280044,0.3299649609236156,0.2027103372893246,0.18,1,0,1,MP_0095,modcloth_637931,4,4,0,0,0,0.6,0.9808615935280044,0.7357914459090514,0.0,0.3299649609236156,0.351078520728036,0.348145461140836,0.2814156438317512,0.2027103372893246,0.3270540409658741,0.0730446128368545,0.0044634598372703,0.144338637879396,0.1353537182799874,0,1,1,1,0,0,0
CART_0002,MU_003,0.7603592103581146,0.58,medium,0.8505131576544495,0.55,2,"[""two_sizes_same_product"", ""large_cart_size"", ""low_rating_signal_when_available""]","[{""code"": ""two_sizes_same_product"", ""severity"": 1.0, ""message"": ""Cart contains multiple sizes of the same product.""}, {""code"": ""large_cart_size"", ""severity"": 0.8, ""message"": ""Cart size is high for this demo batch.""}, {""code"": ""low_rating_signal_when_available"", ""severity"": 0.1420917853304675, ""message"": ""Rating issue signal is elevated when rating is available.""}]",show_size_guidance_before_checkout,Multiple sizes of the same product are in the cart. Show size guidance before checkout.,1.0,0.8505131576544495,0.3135251259132099,0.1909629430778622,0.59,0,1,1,MP_0056,renttherunway_466944,5,3,1,0,1,0.8,0.8505131576544495,0.4251360867121708,0.0,0.3135251259132099,0.3135251259132099,,,0.1909629430778622,0.294869248426732,0.0554157374559698,0.0033363587679357,0.1446976218740785,0.1420917853304675,0,1,1,1,0,0,0
CART_0003,MU_023,0.8645833561606311,0.78,high,0.977976223086616,0.6,2,"[""duplicate_variant"", ""high_transaction_model_rank"", ""large_cart_size"", ""length_issue_signal""]","[{""code"": ""duplicate_variant"", ""severity"": 1.0, ""message"": ""Cart contains a duplicate variant.""}, {""code"": ""high_transaction_model_rank"", ""severity"": 0.977976223086616, ""message"": ""Transaction model rank is high.""}, {""code"": ""large_cart_size"", ""severity"": 0.8, ""message"": ""Cart size is high for this demo batch.""}, {""code"": ""length_issue_signal"", ""severity"": 0.2637021716649431, ""message"": ""Length issue signal is elevated.""}]",show_size_guidance_before_checkout,Fit-related signals are elevated. Show size and fit guidance.,1.0,0.977976223086616,0.2926556924139519,0.2144219696686145,0.59,1,0,1,MP_0135,renttherunway_1188641,5,4,0,1,1,0.8,0.977976223086616,0.7218426161479987,0.0,0.2926556924139519,0.2963845103021638,0.2637021716649431,0.2625270517729315,0.2144219696686145,0.3254962655504355,0.053908717424333,0.0048117890645113,0.138017197558597,0.1101016085926075,0,1,1,1,0,0,0
CART_0004,MU_026,0.599043992768312,0.3,low,0.8557771325261601,0.0,0,"[""dominant_transaction_model_signal""]","[{""code"": ""dominant_transaction_model_signal"", ""severity"": 0.8557771325261601, ""message"": ""transaction_model is the strongest available layer.""}]",standard_checkout,No dominant risk reason detected for this cart.,1.0,0.8557771325261601,0.3088121386261445,0.1887383322429539,0.06,0,0,0,MP_0045,renttherunway_2531779,2,2,0,0,0,0.2,0.8557771325261601,0.4331960040619731,0.0,0.3088121386261445,0.3088121386261445,,,0.1887383322429539,0.3145032301290409,0.0488279902915491,0.00435829307304,0.133704905063289,0.1050775788191782,0,1,1,1,0,0,0
CART_0005,MU_024,0.7153592103581146,0.52,medium,0.8505131576544495,0.4,1,"[""low_rating_signal_when_available""]","[{""code"": ""low_rating_signal_when_available"", ""severity"": 0.1420917853304675, ""message"": ""Rating issue signal is elevated when rating is available.""}]",show_review_and_product_detail_summary,Review signals are elevated. Show review summary before checkout.,1.0,0.8505131576544495,0.3135251259132099,0.2061751212110678,0.12,0,1,0,MP_0123,renttherunway_535046,3,3,0,0,0,0.4,0.8505131576544495,0.4251360867121708,0.0,0.3135251259132099,0.3135251259132099,,,0.2061751212110678,0.3508789241460973,0.0621407124430849,0.0048117890645113,0.1446976218740785,0.1420917853304675,0,1,1,1,0,0,0
CART_0006,MU_014,0.375713307401523,0.14,low,0.3010190105736043,0.55,2,"[""two_sizes_same_product"", ""low_rating_signal_when_available""]","[{""code"": ""two_sizes_same_product"", ""severity"": 1.0, ""message"": ""Cart contains multiple sizes of the same product.""}, {""code"": ""low_rating_signal_when_available"", ""severity"": 0.1511067500796939, ""message"": ""Rating issue signal is elevated when rating is available.""}]",show_size_guidance_before_checkout,Multiple sizes of the same product are in the cart. Show size guidance before checkout.,1.0,0.3010190105736043,0.26171270432146,0.189951284995427,0.41,0,1,1,MP_0005,renttherunway_1470980,2,1,1,0,1,0.2,0.3010190105736043,0.1554769527979541,0.0,0.26171270432146,0.26171270432146,,,0.189951284995427,0.2813569680355637,0.0647603769094483,0.0038989619417829,0.1522348880012872,0.1511067500796939,0,1,1,1,0,0,0
CART_0007,MU_026,0.9344345221790025,0.86,high,0.9063350316842892,1.0,3,"[""large_cart_size"", ""length_issue_signal"", ""quality_issue_signal""]","[{""code"": ""large_cart_size"", ""severity"": 0.6, ""message"": ""Cart size is high for this demo batch.""}, {""code"": ""length_issue_signal"", ""severity"": 0.2669544821021857, ""message"": ""Length issue signal is elevated.""}, {""code"": ""quality_issue_signal"", ""severity"": 0.2541427697050756, ""message"": ""Quality-related signal is elevated.""}]",show_size_guidance_before_checkout,Fit-related signals are elevated. Show size and fit guidance.,1.0,0.9063350316842892,0.3327232279210981,0.2323024961616027,0.18,1,1,1,MP_0085,modcloth_175156,4,4,0,0,0,0.6,0.9063350316842892,0.525560159795959,0.0,0.3327232279210981,0.3327232279210981,0.2669544821021857,0.2541427697050756,0.2323024961616027,0.3474521476554222,0.089616839315458,0.0044634598372703,0.1521562875581728,0.1279330017554125,0,1,1,1,0,0,0
CART_0008,MU_022,0.33967430011504957,0.12,low,0.4852490001643565,0.0,0,"[""dominant_transaction_model_signal""]","[{""code"": ""dominant_transaction_model_signal"", ""severity"": 0.4852490001643565, ""message"": ""transaction_model is the strongest available layer.""}]",standard_checkout,No dominant risk reason detected for this cart.,1.0,0.4852490001643565,0.1953015016882468,0.1512307834226255,0.06,0,0,0,MP_0107,renttherunway_2396750,2,2,0,0,0,0.2,0.4852490001643565,0.2176812488645923,0.0,0.1953015016882468,0.1953015016882469,,,0.1512307834226255,0.2438736705330189,0.0648684674795154,0.0014864266951929,0.1183758426415475,0.0842491124789928,0,1,1,1,0,0,0
CART_0009,MU_021,0.7994345221790025,0.68,medium,0.9063350316842892,0.55,2,"[""two_sizes_same_product"", ""large_cart_size"", ""quality_issue_signal""]","[{""code"": ""two_sizes_same_product"", ""severity"": 1.0, ""message"": ""Cart contains multiple sizes of the same product.""}, {""code"": ""large_cart_size"", ""severity"": 1.0, ""message"": ""Cart size is high for this demo batch.""}, {""code"": ""quality_issue_signal"", ""severity"": 0.0, ""message"": ""Quality-related signal is elevated.""}]",show_size_guidance_before_checkout,Multiple sizes of the same product are in the cart. Show size guidance before checkout.,1.0,0.9063350316842892,0.3515504819093259,0.1914514644009548,0.6499999999999999,0,1,1,MP_0112,renttherunway_1692512,6,4,1,0,1,1.0,0.9063350316842892,0.525560159795959,0.0,0.3515504819093259,0.3515504819093259,,,0.1914514644009548,0.3254962655504355,0.089616839315458,0.0040705646336338,0.134789082959527,0.1279330017554125,0,1,1,1,0,0,0
CART_0010,MU_015,0.6914028744133384,0.48,medium,0.9234326777333406,0.15,1,"[""two_sizes_same_product"", ""high_transaction_model_rank""]","[{""code"": ""two_sizes_same_product"", ""severity"": 1.0, ""message"": ""Cart contains multiple sizes of the same product.""}, {""code"": ""high_transaction_model_rank"", ""severity"": 0.9234326777333406, ""message"": ""Transaction model rank is high.""}]",show_size_guidance_before_checkout,Multiple sizes of the same product are in the cart. Show size guidance before checkout.,1.0,0.9234326777333406,0.2429273311237328,0.1875677020318983,0.47,0,0,1,MP_0148,renttherunway_1330312,3,1,1,0,1,0.4,0.9234326777333406,0.5646698115079758,0.0,0.2429273311237328,0.2429273311237328,,,0.1875677020318983,0.3146776937385907,0.0733328226423057,0.0019179820574007,0.1256543024118672,0.0732580309146035,0,1,1,1,0,0,0
